Date,Payment_Mode,Volume,Value,ATS,MoM,YoY,log_volume,log_value,is_covid_shock,is_policy_change,is_festive_month,is_fy_end,MoM_Anomaly
2024-08-01,Debit,142244915.0,435418344900.0,3061.046821251923,-2.341794969247968,-31.479307456233098,18.77306088340735,26.799573118299783,0,0,0,0,0
2024-09-01,Debit,135364044.0,401015078737.59,2962.4933393508104,-4.8373405826141465,-26.39431942945295,18.723478329262438,26.717264866382894,0,0,0,0,0
2024-10-01,Debit,142717406.0,468297512515.58997,3281.292209834517,5.432285991692143,-25.05262126840987,18.77637705118237,26.872369641389128,0,0,1,0,0
2024-11-01,Debit,123189000.00000001,390100100000.0,3166.6796548393118,-13.683268598645903,-30.46686906528018,18.629230319363202,26.689669209803515,0,0,1,0,0
2024-12-01,Debit,128009805.0,405988477233.71,3171.5420333130733,3.9133404768282753,-27.602668519594765,18.66761742051264,26.729590614947632,0,0,0,0,0
2025-01-01,Debit,121669427.0,389633649025.77,3202.395693256368,-4.953040901827799,-26.022220313030786,18.616818310292526,26.688472773121237,0,0,0,0,0
2025-02-01,Debit,108249702.0,343140435551.63995,3169.897276499107,-11.029660721587852,-28.89884440632171,18.499951171956248,26.561405633412654,0,0,0,0,0
2025-03-01,Debit,120301951.00000001,390546816692.09,3246.3880547713643,11.133747970964404,-24.563821671515683,18.60551539860226,26.69081368813629,0,0,0,1,0
2019-11-01,IMPS,228075192.00000003,2029036418167.0,8896.348613693153,,,19.245185922023804,28.338582125436677,0,0,1,0,0
2019-12-01,IMPS,256467272.0,2109342335418.0,8224.606278098518,12.448561262199863,,19.362511619892313,28.377397325455938,0,0,0,0,0
2020-01-01,IMPS,259525523.00000003,2168107003270.0,8354.118616957761,1.1924527352558334,,19.374365610261666,28.404875554039837,0,0,0,0,0
2020-02-01,IMPS,247797744.0,2145656571152.0,8658.902766895246,-4.5189308798734285,,19.32812342300165,28.39446671524854,0,0,0,0,0
2020-03-01,IMPS,216823055.00000003,2019617042778.0,9314.586231514908,-12.49998829690716,,19.194592164126753,28.333929026585405,1,0,0,1,0
2020-04-01,IMPS,122474580.99999999,1211407943180.0,9891.09685690617,-43.51404143807495,,18.62341406437671,27.822804388496692,1,0,0,0,1
2020-05-01,IMPS,166679994.0,1694016757882.0,10163.287850142351,36.09354091197097,,18.931586328521405,28.158123604601805,0,0,0,0,1
2020-06-01,IMPS,198912186.0,2069508049618.0,10404.129034196025,19.337768874649708,,19.10837400891578,28.358332037771508,0,0,0,0,0
2020-07-01,IMPS,222098999.99999997,2257752800000.0,10165.524383270526,11.656809201222075,,19.218633786378156,28.44539109824929,0,0,0,0,0
2020-08-01,IMPS,246124856.0,2351369092632.0,9553.56208570824,10.817633577818908,,19.32134950985483,28.48601886705279,0,0,0,0,0
2020-09-01,IMPS,279608000.0,2486617500000.0,8893.2273039398,13.604129442334756,,19.448899180217897,28.541944469162676,0,0,0,0,0
2020-10-01,IMPS,318972000.0,2746447287111.0,8610.308387918061,14.078281022002237,,19.58061388260206,28.641329296794492,0,0,1,0,0
2020-11-01,IMPS,339113869.0,2764589147767.0005,8152.391867426102,6.314619778538555,48.68511828327211,19.641846505699203,28.647913149542862,0,0,1,0,0
2020-12-01,IMPS,355693299.0,2923247063558.0,8218.448511052777,4.889045101248857,38.68954749126821,19.689579397832038,28.70371612245355,0,0,0,0,0
2021-01-01,IMPS,346552000.0,2885375200000.0,8325.951660934,-2.5699947189615213,33.53291652936963,19.663543437484606,28.690676059425652,0,1,0,0,0
